babel-plugin-transform-es2015-duplicate-keys,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-for-of,6.23.0,MIT,Unknown
babel-plugin-transform-es2015-function-name,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-literals,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-modules-amd,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-modules-commonjs,6.26.2,MIT,Unknown
babel-plugin-transform-es2015-modules-systemjs,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-modules-umd,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-object-super,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-parameters,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-shorthand-properties,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-spread,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-sticky-regex,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-template-literals,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-typeof-symbol,6.23.0,MIT,Unknown
babel-plugin-transform-es2015-unicode-regex,6.24.1,MIT,Unknown
babel-plugin-transform-exponentiation-operator,6.24.1,MIT,Unknown
babel-plugin-transform-flow-strip-types,6.22.0,MIT,Unknown
babel-plugin-transform-object-rest-spread,6.26.0,MIT,Unknown
babel-plugin-transform-react-display-name,6.25.0,MIT,Unknown
babel-plugin-transform-react-jsx,6.24.1,MIT,Unknown
babel-plugin-transform-react-jsx-self,6.22.0,MIT,Unknown
babel-plugin-transform-react-jsx-source,6.22.0,MIT,Unknown
babel-plugin-transform-regenerator,6.26.0,MIT,https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-regenerator
babel-plugin-transform-strict-mode,6.24.1,MIT,Unknown
babel-polyfill,6.26.0,MIT,https://babeljs.io/
babel-preset-env,1.7.0,MIT,https://babeljs.io/
babel-preset-flow,6.23.0,MIT,Unknown
babel-preset-jest,22.4.4,MIT,Unknown
babel-preset-react,6.24.1,MIT,https://babeljs.io/
babel-register,6.26.0,MIT,Unknown
babel-runtime,6.26.0,MIT,Unknown
babel-template,6.26.0,MIT,https://babeljs.io/
babel-traverse,6.26.0,MIT,https://babeljs.io/
babel-types,6.26.0,MIT,https://babeljs.io/
babylon,6.18.0,MIT,https://babeljs.io/
babylon,7.0.0-beta.44,MIT,https://babeljs.io/
bail,1.0.3,MIT,http://wooorm.com
balanced-match,0.1.0,MIT,https://github.com/juliangruber/balanced-match
balanced-match,0.4.2,MIT,https://github.com/juliangruber/balanced-match
balanced-match,1.0.0,MIT,https://github.com/juliangruber/balanced-match
base,0.11.2,MIT,https://github.com/node-base/base
base64-js,1.3.0,MIT,https://github.com/beatgammit/base64-js
batch,0.6.1,MIT,Unknown
bcrypt-pbkdf,1.0.2,New BSD,Unknown
big.js,3.2.0,MIT,Unknown
binary-extensions,1.11.0,MIT,sindresorhus.com
bindex,0.5.0,MIT,https://github.com/gsamokovarov/bindex
block-stream,0.0.9,ISC,http://blog.izs.me/
bluebird,3.5.1,MIT,https://github.com/petkaantonov/bluebird
bn.js,4.11.8,MIT,https://github.com/indutny/bn.js
body-parser,1.18.2,MIT,Unknown
bonjour,3.5.0,MIT,https://github.com/watson/bonjour
boolbase,1.0.0,ISC,https://github.com/fb55/boolbase
boom,2.10.1,New BSD,Unknown
bootstrap,3.3.7,MIT,http://getbootstrap.com/
bootstrap,4.1.1,MIT,https://github.com/twbs/bootstrap-rubygem
bootstrap-sass,3.3.7,MIT,https://github.com/twbs/bootstrap-sass
brace-expansion,1.1.11,MIT,https://github.com/juliangruber/brace-expansion
braces,1.8.5,MIT,https://github.com/jonschlinkert/braces
braces,2.3.2,MIT,https://github.com/micromatch/braces
brakeman,4.2.1,MIT,http://brakemanscanner.org
brorand,1.1.0,MIT,https://github.com/indutny/brorand
browser-process-hrtime,0.1.2,Simplified BSD,Unknown
browser-resolve,1.11.3,MIT,Unknown
browserify-aes,1.2.0,MIT,https://github.com/crypto-browserify/browserify-aes
browserify-cipher,1.0.1,MIT,Unknown
